,date,day,hTemp,lTemp,pDegree,pIndex,wea,wind
0,2017-08-01,星期六,35℃,25℃,轻度污染,122,多云,南风1-2级
1,2017-07-02,星期日,35℃,24℃,轻度污染,139,多云~晴,南风1-2级
2,2017-07-03,星期一,35℃,24℃,良,83,多云~雷阵雨,南风1-2级
3,2017-07-04,星期二,31℃,23℃,良,70,雷阵雨,南风1-2级
4,2017-07-05,星期三,30℃,23℃,轻度污染,111,多云~雷阵雨,南风1-2级
5,2017-07-06,星期四,25℃,23℃,良,95,大雨,东风1-2级
6,2017-07-07,星期五,32℃,23℃,良,54,阴~多云,南风1-2级
7,2017-07-08,星期六,34℃,25℃,良,64,多云~雷阵雨,南风1-2级
8,2017-07-09,星期日,34℃,23℃,轻度污染,114,多云,南风1-2级
9,2017-07-10,星期一,36℃,19℃,良,64,多云,西南风1-2级
10,2017-07-11,星期二,36℃,26℃,良,95,多云,南风1-2级
11,2017-07-12,星期三,36℃,27℃,轻度污染,118,多云,南风1-2级
12,2017-07-13,星期四,36℃,25℃,良,94,多云~雷阵雨,南风1-2级
13,2017-07-14,星期五,32℃,24℃,良,60,雷阵雨~阴,东风1-2级
14,2017-07-15,星期六,33℃,25℃,良,55,阴,东风1-2级
15,2017-07-16,星期日,34℃,25℃,良,95,多云~晴,南风1-2级
16,2017-07-17,星期一,34℃,25℃,良,76,晴~多云,南风1-2级
17,2017-07-18,星期二,33℃,25℃,良,88,阵雨,南风1-2级
18,2017-07-19,星期三,31℃,25℃,良,98,阴~多云,南风1-2级
19,2017-07-20,星期四,33℃,25℃,轻度污染,123,雷阵雨~中到大雨,南风1-2级
20,2017-07-21,星期五,27℃,23℃,优,44,小雨~阵雨,东风1-2级
21,2017-07-22,星期六,28℃,24℃,优,37,阴,南风1-2级
22,2017-07-23,星期日,28℃,24℃,良,59,阵雨,南风1-2级
23,2017-07-24,星期一,29℃,23℃,良,63,阵雨,北风1-2级
24,2017-07-25,星期二,29℃,22℃,良,52,阵雨~阴,南风1-2级
25,2017-07-26,星期三,24℃,20℃,优,39,中雨~阵雨,北风1-2级
26,2017-07-27,星期四,28℃,23℃,良,58,阴~多云,南风1-2级
27,2017-07-28,星期五,30℃,22℃,良,52,多云~阴,南风1-2级
28,2017-07-29,星期六,30℃,22℃,良,56,多云,南风1-2级
29,2017-07-30,星期日,31℃,21℃,良,70,多云~晴,南风1-2级
30,2017-07-31,星期一,31℃,23℃,轻度污染,110,晴~多云,南风1-2级
