,date,day,hTemp,lTemp,pDegree,pIndex,wea,wind
0,2017-09-01,星期二,30℃,24℃,良,94,阴~雷阵雨,南风1-2级
1,2017-08-02,星期三,28℃,24℃,良,52,中雨~小到中雨,东风1-2级
2,2017-08-03,星期四,33℃,24℃,优,38,阴~晴,南风1-2级
3,2017-08-04,星期五,36℃,25℃,良,55,晴~多云,南风1-2级
4,2017-08-05,星期六,32℃,23℃,良,63,雷阵雨,北风1-2级
5,2017-08-06,星期日,34℃,24℃,优,42,多云~晴,南风1-2级
6,2017-08-07,星期一,35℃,24℃,优,40,多云~晴,南风1-2级
7,2017-08-08,星期二,33℃,22℃,良,74,阴~雷阵雨,东风1-2级
8,2017-08-09,星期三,30℃,23℃,优,44,雷阵雨~晴,南风1-2级
9,2017-08-10,星期四,32℃,24℃,良,85,多云,南风1-2级
10,2017-08-11,星期五,33℃,23℃,轻度污染,122,雷阵雨~中雨,东北风3-4级
11,2017-08-12,星期六,31℃,22℃,优,45,雷阵雨,东风1-2级
12,2017-08-13,星期日,29℃,23℃,良,60,雷阵雨,南风1-2级
13,2017-08-14,星期一,30℃,23℃,优,46,多云,东南风1-2级
14,2017-08-15,星期二,30℃,23℃,良,74,阴~雷阵雨,西南风1-2级
15,2017-08-16,星期三,28℃,22℃,良,82,雷阵雨~阴,东风1-2级
16,2017-08-17,星期四,29℃,22℃,优,44,阴,东北风1-2级
17,2017-08-18,星期五,29℃,22℃,良,73,多云~雷阵雨,东南风1-2级
18,2017-08-19,星期六,29℃,22℃,良,62,雷阵雨~多云,东风1-2级
19,2017-08-20,星期日,30℃,23℃,良,82,多云,西南风1-2级
20,2017-08-21,星期一,32℃,24℃,良,98,多云~雷阵雨,南风1-2级
21,2017-08-22,星期二,28℃,22℃,良,99,雷阵雨~中到大雨,北风1-2级
22,2017-08-23,星期三,31℃,22℃,优,49,阴~多云,东北风1-2级
23,2017-08-24,星期四,33℃,20℃,优,37,晴~多云,北风1-2级
24,2017-08-25,星期五,32℃,19℃,优,36,晴,西风1-2级
25,2017-08-26,星期六,28℃,19℃,优,49,晴~阵雨,西南风1-2级
26,2017-08-27,星期日,22℃,18℃,优,33,中雨~阵雨,北风1-2级
27,2017-08-28,星期一,28℃,17℃,优,35,多云~晴,东北风1-2级
28,2017-08-29,星期二,25℃,16℃,优,42,晴,西南风1-2级
29,2017-08-30,星期三,27℃,19℃,良,76,多云,西南风1-2级
30,2017-08-31,星期四,27℃,19℃,轻度污染,103,阴,南风1-2级
