,date,day,hTemp,lTemp,pDegree,pIndex,wea,wind
0,2017-12-02,星期六,6℃,-4℃,中度污染,184,晴~多云,西南风1-2级
1,2017-12-03,星期日,5℃,-5℃,良,88,多云~晴,北风3-4级
2,2017-12-04,星期一,4℃,-6℃,优,26,多云,西北风3-4级
3,2017-12-05,星期二,7℃,-4℃,优,43,晴,西南风1-2级
4,2017-12-06,星期三,8℃,-4℃,良,51,多云,西北风1-2级
5,2017-12-07,星期四,5℃,-5℃,优,27,多云~晴,西北风3-4级
6,2017-12-08,星期五,6℃,-4℃,优,40,晴,西南风1-2级
7,2017-12-09,星期六,6℃,-4℃,良,57,多云~晴,西南风1-2级
8,2017-12-10,星期日,4℃,-5℃,优,43,晴~多云,西北风4-5级
9,2017-12-11,星期一,1℃,-8℃,优,24,多云~晴,东北风3-4级
10,2017-12-12,星期二,-1℃,-8℃,优,26,多云,东北风1-2级
11,2017-12-13,星期三,0℃,-5℃,优,50,晴~多云,东风1-2级
12,2017-12-14,星期四,0℃,-4℃,良,91,阴~多云,南风1-2级
13,2017-12-15,星期五,4℃,-6℃,良,67,多云~晴,无持续风向微风
14,2017-12-16,星期六,0℃,-8℃,优,39,晴,西北风3-4级
15,2017-12-17,星期日,5℃,-5℃,优,47,晴,西南风1-2级
16,2017-12-18,星期一,6℃,-6℃,优,49,晴,西北风3-4级
17,2017-12-19,星期二,4℃,-4℃,良,55,多云~阴,西南风1-2级
18,2017-12-20,星期三,6℃,-5℃,优,45,多云~晴,北风1-2级
19,2017-12-21,星期四,7℃,-6℃,良,69,晴,西南风1-2级
20,2017-12-22,星期五,9℃,-6℃,良,68,多云,北风1-2级
21,2017-12-23,星期六,6℃,-3℃,良,51,晴~多云,西南风1-2级
22,2017-12-24,星期日,5℃,-7℃,优,50,晴,西北风3-4级
23,2017-12-25,星期一,5℃,-4℃,优,44,晴,南风1-2级
24,2017-12-26,星期二,3℃,-6℃,优,42,晴~多云,南风1-2级
25,2017-12-27,星期三,4℃,-5℃,良,98,多云~晴,北风1-2级
26,2017-12-28,星期四,5℃,-4℃,轻度污染,138,晴,北风1-2级
27,2017-12-29,星期五,4℃,-3℃,重度污染,215,多云,东风1-2级
28,2017-12-30,星期六,6℃,-6℃,中度污染,162,晴,北风3-4级
29,2017-12-31,星期日,4℃,-6℃,良,54,晴,南风1-2级
