,date,day,hTemp,lTemp,pDegree,pIndex,wea,wind
0,2018-02-02,星期五,-1℃,-9℃,优,32,晴,北风3-4级
1,2018-02-03,星期六,0℃,-9℃,优,24,多云,北风1-2级
2,2018-02-04,星期日,1℃,-8℃,优,36,晴,西南风1-2级
3,2018-02-05,星期一,0℃,-10℃,优,24,晴,北风3-4级
4,2018-02-06,星期二,3℃,-7℃,良,56,多云~阴,西南风1-2级
5,2018-02-07,星期三,2℃,-10℃,良,63,多云~晴,北风4-5级
6,2018-02-08,星期四,3℃,-7℃,良,67,多云,南风3-4级
7,2018-02-09,星期五,4℃,-9℃,良,93,多云,西北风4-5级
8,2018-02-10,星期六,1℃,-9℃,优,39,晴,西北风3-4级
9,2018-02-11,星期日,0℃,-9℃,良,62,晴,西北风4-5级
10,2018-02-12,星期一,5℃,-7℃,良,53,晴,西北风1-2级
11,2018-02-13,星期二,8℃,-4℃,良,78,晴~多云,西风1-2级
12,2018-02-14,星期三,6℃,-6℃,优,42,多云,北风1-2级
13,2018-02-15,星期四,5℃,-5℃,优,48,多云,西南风1-2级
14,2018-02-16,星期五,8℃,-5℃,轻度污染,118,晴~多云,西南风1-2级
15,2018-02-17,星期六,5℃,-4℃,轻度污染,103,多云~阴,南风1-2级
16,2018-02-18,星期日,8℃,-3℃,轻度污染,148,多云,南风1-2级
17,2018-02-19,星期一,6℃,-3℃,中度污染,183,多云,南风1-2级
18,2018-02-20,星期二,5℃,-5℃,良,76,晴,北风1-2级
19,2018-02-21,星期三,8℃,-4℃,良,53,晴,南风1-2级
20,2018-02-22,星期四,9℃,-4℃,优,42,多云,西南风1-2级
21,2018-02-23,星期五,10℃,-4℃,优,45,多云,东北风1-2级
22,2018-02-24,星期六,3℃,-6℃,良,66,多云~晴,南风1-2级
23,2018-02-25,星期日,6℃,-4℃,良,73,多云,西南风1-2级
24,2018-02-26,星期一,12℃,-1℃,中度污染,157,晴~多云,西南风1-2级
25,2018-02-27,星期二,7℃,0℃,重度污染,220,阴,东风1-2级
26,2018-02-28,星期三,9℃,-2℃,轻度污染,139,多云~晴,西南风3-4级
