,date,day,hTemp,lTemp,pDegree,pIndex,wea,wind
0,2018-06-01,星期五,36℃,21℃,良,72,晴,西南风3-4级
1,2018-06-02,星期六,35℃,21℃,良,98,多云,南风3-4级
2,2018-06-03,星期日,32℃,19℃,良,92,多云,北风1-2级
3,2018-06-04,星期一,35℃,20℃,良,69,晴,西南风3-4级
4,2018-06-05,星期二,38℃,25℃,良,94,多云,西南风4-5级
5,2018-06-06,星期三,36℃,25℃,轻度污染,102,多云,东风1-2级
6,2018-06-07,星期四,33℃,22℃,良,60,多云,西南风1-2级
7,2018-06-08,星期五,32℃,19℃,优,43,多云~雷阵雨,西南风1-2级
8,2018-06-09,星期六,23℃,17℃,优,45,小雨,北风1-2级
9,2018-06-10,星期日,27℃,17℃,良,51,多云,东南风1-2级
10,2018-06-11,星期一,29℃,19℃,良,85,多云,西南风3-4级
11,2018-06-12,星期二,32℃,19℃,轻度污染,116,多云~雷阵雨,东南风1-2级
12,2018-06-13,星期三,28℃,19℃,良,73,雷阵雨~多云,东北风1-2级
13,2018-06-14,星期四,31℃,20℃,良,54,多云,南风1-2级
14,2018-06-15,星期五,32℃,20℃,轻度污染,117,多云,东南风3-4级
15,2018-06-16,星期六,31℃,21℃,轻度污染,103,多云~雷阵雨,南风1-2级
16,2018-06-17,星期日,31℃,22℃,良,71,阴~雷阵雨,南风1-2级
17,2018-06-18,星期一,30℃,21℃,轻度污染,112,雷阵雨,西南风1-2级
