,date,day,hTemp,lTemp,pDegree,pIndex,wea,wind
0,2017-07-01,星期四,30℃,17℃,良,63,晴~阴,南风1-2级
1,2017-06-02,星期五,25℃,13℃,良,58,阵雨~多云,东风1-2级
2,2017-06-03,星期六,28℃,16℃,良,54,晴,南风1-2级
3,2017-06-04,星期日,31℃,19℃,良,83,多云,西南风3-4级
4,2017-06-05,星期一,28℃,15℃,良,98,阴~小雨,西南风3-4级
5,2017-06-06,星期二,20℃,14℃,良,56,小雨~晴,南风1-2级
6,2017-06-07,星期三,31℃,18℃,良,72,晴~多云,南风1-2级
7,2017-06-08,星期四,34℃,20℃,良,51,多云~晴,南风1-2级
8,2017-06-09,星期五,37℃,21℃,良,78,晴~多云,南风3-4级
9,2017-06-10,星期六,30℃,17℃,良,62,阴~多云,东风1-2级
10,2017-06-11,星期日,31℃,18℃,良,72,阴~多云,南风1-2级
11,2017-06-12,星期一,27℃,18℃,良,66,阴,南风1-2级
12,2017-06-13,星期二,29℃,17℃,良,62,多云~晴,南风1-2级
13,2017-06-14,星期三,35℃,21℃,良,69,晴,西南风3-4级
14,2017-06-15,星期四,38℃,24℃,良,82,晴,南风1-2级
15,2017-06-16,星期五,36℃,24℃,良,100,多云~阴,南风3-4级
16,2017-06-17,星期六,35℃,25℃,轻度污染,118,阵雨~多云,南风3-4级
17,2017-06-18,星期日,34℃,23℃,轻度污染,114,阴~雷阵雨,南风3-4级
18,2017-06-19,星期一,31℃,21℃,良,74,雷阵雨~阴,南风1-2级
19,2017-06-20,星期二,34℃,22℃,良,77,多云~阴,南风1-2级
20,2017-06-21,星期三,32℃,22℃,良,85,阵雨~小到中雨,南风1-2级
21,2017-06-22,星期四,23℃,20℃,优,48,大雨,南风3-4级
22,2017-06-23,星期五,24℃,19℃,优,36,雷阵雨,东风1-2级
23,2017-06-24,星期六,25℃,18℃,优,35,阵雨~阴,北风3-4级
24,2017-06-25,星期日,30℃,20℃,良,54,多云,南风1-2级
25,2017-06-26,星期一,33℃,21℃,良,56,多云~晴,南风1-2级
26,2017-06-27,星期二,34℃,22℃,轻度污染,112,多云~晴,南风1-2级
27,2017-06-28,星期三,34℃,23℃,轻度污染,120,多云,南风1-2级
28,2017-06-29,星期四,35℃,24℃,轻度污染,103,雷阵雨~多云,南风1-2级
29,2017-06-30,星期五,35℃,25℃,轻度污染,108,多云,南风1-2级
