,date,day,hTemp,lTemp,pDegree,pIndex,wea,wind
0,2018-05-01,星期日,25℃,11℃,重度污染,218,晴~多云,南风1-2级
1,2018-04-02,星期一,26℃,11℃,重度污染,287,多云,北风1-2级
2,2018-04-03,星期二,14℃,6℃,良,80,多云~阴,东北风3-4级
3,2018-04-04,星期三,10℃,1℃,优,35,小雨~雨夹雪,东北风1-2级
4,2018-04-05,星期四,10℃,3℃,良,73,多云,西南风1-2级
5,2018-04-06,星期五,11℃,4℃,良,86,多云~晴,北风4-5级
6,2018-04-07,星期六,12℃,2℃,优,42,多云~晴,西北风3-4级
7,2018-04-08,星期日,18℃,5℃,良,68,晴,西南风1-2级
8,2018-04-09,星期一,20℃,7℃,轻度污染,111,晴~多云,南风1-2级
9,2018-04-10,星期二,24℃,8℃,轻度污染,101,多云~晴,西北风4-5级
10,2018-04-11,星期三,23℃,9℃,优,48,晴,西南风3-4级
11,2018-04-12,星期四,22℃,7℃,良,79,多云~小雨,东南风1-2级
12,2018-04-13,星期五,11℃,6℃,良,64,小雨~多云,东南风1-2级
13,2018-04-14,星期六,19℃,5℃,轻度污染,122,多云~晴,北风4-5级
14,2018-04-15,星期日,21℃,8℃,良,72,晴,西南风1-2级
15,2018-04-16,星期一,23℃,12℃,轻度污染,103,晴~多云,南风1-2级
16,2018-04-17,星期二,25℃,12℃,轻度污染,145,多云~晴,南风1-2级
17,2018-04-18,星期三,27℃,14℃,轻度污染,147,多云~晴,西南风3-4级
18,2018-04-19,星期四,26℃,13℃,中度污染,170,多云,东南风4-5级
19,2018-04-20,星期五,28℃,14℃,中度污染,164,多云~小雨,南风4-5级
20,2018-04-21,星期六,16℃,12℃,轻度污染,105,大雨~小雨,东北风3-4级
21,2018-04-22,星期日,16℃,12℃,优,27,阴~多云,东北风3-4级
22,2018-04-23,星期一,19℃,9℃,优,34,多云,东北风3-4级
23,2018-04-24,星期二,23℃,10℃,优,41,晴,北风3-4级
24,2018-04-25,星期三,25℃,11℃,良,55,晴,西南风3-4级
25,2018-04-26,星期四,26℃,12℃,轻度污染,117,多云~晴,西北风1-2级
26,2018-04-27,星期五,25℃,13℃,轻度污染,112,晴,西南风3-4级
27,2018-04-28,星期六,27℃,17℃,轻度污染,125,晴,西南风3-4级
28,2018-04-29,星期日,30℃,16℃,中度污染,193,多云,南风3-4级
29,2018-04-30,星期一,24℃,14℃,良,62,多云,南风3-4级
