,date,day,hTemp,lTemp,pDegree,pIndex,wea,wind
0,2018-05-02,星期三,25℃,13℃,优,44,多云~晴,北风3-4级
1,2018-05-03,星期四,24℃,12℃,优,48,晴,北风1-2级
2,2018-05-04,星期五,27℃,16℃,良,86,晴~多云,西南风1-2级
3,2018-05-05,星期六,25℃,13℃,中度污染,177,多云,北风3-4级
4,2018-05-06,星期日,28℃,14℃,轻度污染,126,晴,西南风1-2级
5,2018-05-07,星期一,28℃,13℃,良,100,晴,南风3-4级
6,2018-05-08,星期二,27℃,13℃,良,64,晴,东南风3-4级
7,2018-05-09,星期三,29℃,17℃,良,79,晴~多云,西南风3-4级
8,2018-05-10,星期四,26℃,18℃,轻度污染,118,多云,南风3-4级
9,2018-05-11,星期五,24℃,15℃,轻度污染,106,阴~多云,东风1-2级
10,2018-05-12,星期六,28℃,16℃,中度污染,186,小雨,东南风3-4级
11,2018-05-13,星期日,30℃,17℃,良,68,晴,南风1-2级
12,2018-05-14,星期一,34℃,22℃,中度污染,158,晴~多云,南风3-4级
13,2018-05-15,星期二,31℃,22℃,良,93,小雨,南风1-2级
14,2018-05-16,星期三,29℃,21℃,轻度污染,142,多云~小雨,东风1-2级
15,2018-05-17,星期四,25℃,19℃,良,70,小雨~多云,北风1-2级
16,2018-05-18,星期五,28℃,16℃,优,49,多云~晴,南风1-2级
17,2018-05-19,星期六,27℃,16℃,良,69,多云~小雨,南风1-2级
18,2018-05-20,星期日,21℃,16℃,良,54,阴~小雨,东风1-2级
19,2018-05-21,星期一,18℃,14℃,良,84,小雨,东南风1-2级
20,2018-05-22,星期二,25℃,10℃,轻度污染,103,多云~晴,西风4-5级
21,2018-05-23,星期三,29℃,15℃,中度污染,153,晴,西南风3-4级
22,2018-05-24,星期四,31℃,17℃,良,99,晴,南风3-4级
23,2018-05-25,星期五,31℃,19℃,良,98,多云,西南风1-2级
24,2018-05-26,星期六,30℃,17℃,轻度污染,143,小雨~多云,西南风3-4级
25,2018-05-27,星期日,32℃,17℃,良,89,多云,西南风3-4级
26,2018-05-28,星期一,30℃,16℃,中度污染,178,晴,西北风4-5级
27,2018-05-29,星期二,31℃,16℃,优,41,多云,西北风1-2级
28,2018-05-30,星期三,33℃,18℃,优,46,晴,西风1-2级
29,2018-05-31,星期四,35℃,19℃,良,79,晴,南风1-2级
