,date,day,hTemp,lTemp,pDegree,pIndex,wea,wind
0,2018-04-01,星期四,8℃,-3℃,优,46,多云,西南风1-2级
1,2018-03-02,星期五,9℃,-1℃,良,95,晴~多云,北风1-2级
2,2018-03-03,星期六,13℃,3℃,重度污染,214,多云~阴,北风1-2级
3,2018-03-04,星期日,7℃,-2℃,轻度污染,144,阴~多云,东南风1-2级
4,2018-03-05,星期一,8℃,-3℃,良,94,晴,南风1-2级
5,2018-03-06,星期二,6℃,-3℃,良,67,多云~阴,东南风3-4级
6,2018-03-07,星期三,6℃,-2℃,良,65,阴~多云,北风1-2级
7,2018-03-08,星期四,8℃,-4℃,良,62,晴,东北风1-2级
8,2018-03-09,星期五,10℃,-2℃,轻度污染,132,多云,西南风1-2级
9,2018-03-10,星期六,14℃,-2℃,中度污染,171,晴,东南风1-2级
10,2018-03-11,星期日,11℃,0℃,良,81,多云,南风1-2级
11,2018-03-12,星期一,15℃,3℃,中度污染,174,多云~晴,南风1-2级
12,2018-03-13,星期二,17℃,5℃,重度污染,287,晴~多云,南风1-2级
13,2018-03-14,星期三,15℃,6℃,重度污染,293,多云~阴,东北风1-2级
14,2018-03-15,星期四,12℃,-1℃,良,70,多云~晴,东北风3-4级
15,2018-03-16,星期五,10℃,-1℃,良,58,多云,南风1-2级
16,2018-03-17,星期六,4℃,0℃,良,81,小雨~阴,南风1-2级
17,2018-03-18,星期日,13℃,1℃,轻度污染,134,多云~晴,西南风1-2级
18,2018-03-19,星期一,13℃,2℃,轻度污染,107,多云,东风1-2级
19,2018-03-20,星期二,10℃,-2℃,优,41,多云,南风1-2级
20,2018-03-21,星期三,11℃,1℃,良,76,多云,西南风1-2级
21,2018-03-22,星期四,17℃,4℃,轻度污染,112,晴~多云,西南风1-2级
22,2018-03-23,星期五,18℃,5℃,轻度污染,146,多云,北风1-2级
23,2018-03-24,星期六,22℃,5℃,轻度污染,119,晴,西南风1-2级
24,2018-03-25,星期日,24℃,7℃,良,78,晴,南风1-2级
25,2018-03-26,星期一,25℃,7℃,中度污染,151,多云,西南风1-2级
26,2018-03-27,星期二,27℃,11℃,重度污染,243,晴,南风1-2级
27,2018-03-28,星期三,25℃,9℃,严重污染,387,多云~晴,东风1-2级
28,2018-03-29,星期四,19℃,7℃,轻度污染,119,晴,南风1-2级
29,2018-03-30,星期五,18℃,8℃,良,68,多云,南风1-2级
30,2018-03-31,星期六,23℃,9℃,轻度污染,125,多云~晴,南风1-2级
