,date,day,hTemp,lTemp,pDegree,pIndex,wea,wind
0,2017-10-01,星期五,27℃,19℃,中度污染,175,多云~阴,西南风1-2级
1,2017-09-02,星期六,26℃,19℃,中度污染,151,阴,南风1-2级
2,2017-09-03,星期日,28℃,19℃,良,76,多云,南风1-2级
3,2017-09-04,星期一,28℃,20℃,轻度污染,118,阴,西南风1-2级
4,2017-09-05,星期二,30℃,19℃,良,67,阴~多云,北风1-2级
5,2017-09-06,星期三,31℃,18℃,优,43,晴,北风1-2级
6,2017-09-07,星期四,31℃,19℃,良,79,晴,南风1-2级
7,2017-09-08,星期五,30℃,20℃,轻度污染,137,多云,东风1-2级
8,2017-09-09,星期六,30℃,21℃,轻度污染,127,阴,东南风1-2级
9,2017-09-10,星期日,28℃,19℃,轻度污染,121,阵雨~晴,西北风1-2级
10,2017-09-11,星期一,29℃,16℃,优,43,晴,北风1-2级
11,2017-09-12,星期二,29℃,19℃,优,49,晴~多云,南风1-2级
12,2017-09-13,星期三,28℃,19℃,良,100,多云,东风1-2级
13,2017-09-14,星期四,28℃,20℃,轻度污染,125,阴,南风1-2级
14,2017-09-15,星期五,28℃,18℃,良,86,阴,南风1-2级
15,2017-09-16,星期六,28℃,18℃,轻度污染,117,阵雨~多云,西南风1-2级
16,2017-09-17,星期日,29℃,16℃,优,39,晴,南风1-2级
17,2017-09-18,星期一,30℃,18℃,良,58,晴,西南风1-2级
18,2017-09-19,星期二,29℃,15℃,优,46,晴~多云,西北风3-4级
19,2017-09-20,星期三,27℃,14℃,优,46,晴,南风1-2级
20,2017-09-21,星期四,29℃,17℃,良,88,阵雨,西南风1-2级
21,2017-09-22,星期五,28℃,14℃,良,69,晴,西北风3-4级
22,2017-09-23,星期六,28℃,17℃,轻度污染,116,多云~阴,南风1-2级
23,2017-09-24,星期日,29℃,18℃,轻度污染,104,多云~阵雨,东北风1-2级
24,2017-09-25,星期一,28℃,18℃,轻度污染,107,阴,西南风1-2级
25,2017-09-26,星期二,23℃,13℃,良,77,小雨~阴,北风3-4级
26,2017-09-27,星期三,23℃,10℃,良,51,多云~晴,南风1-2级
27,2017-09-28,星期四,22℃,11℃,优,34,晴~多云,西南风1-2级
28,2017-09-29,星期五,25℃,11℃,良,71,晴,北风1-2级
29,2017-09-30,星期六,27℃,16℃,轻度污染,139,多云,南风1-2级
