,date,day,hTemp,lTemp,pDegree,pIndex,wea,wind
0,2017-12-01,星期五,5℃,5℃,良,92,晴~阴,东北风1-2级
1,2017-11-02,星期四,17℃,3℃,良,79,阴~晴,北风1-2级
2,2017-11-03,星期五,13℃,0℃,优,29,晴,北风3-4级
3,2017-11-04,星期六,14℃,3℃,良,53,晴,西南风1-2级
4,2017-11-05,星期日,15℃,4℃,轻度污染,128,晴~多云,南风1-2级
5,2017-11-06,星期一,15℃,4℃,中度污染,198,多云,南风1-2级
6,2017-11-07,星期二,18℃,4℃,轻度污染,137,晴,西北风3-4级
7,2017-11-08,星期三,13℃,4℃,优,40,多云~阴,南风1-2级
8,2017-11-09,星期四,13℃,5℃,良,74,阴~多云,西北风1-2级
9,2017-11-10,星期五,11℃,-1℃,优,42,晴,西北风5-6级
10,2017-11-11,星期六,10℃,0℃,优,33,晴~多云,南风1-2级
11,2017-11-12,星期日,11℃,0℃,良,75,多云~晴,西南风1-2级
12,2017-11-13,星期一,12℃,0℃,良,67,晴,北风4-5级
13,2017-11-14,星期二,8℃,-4℃,优,27,晴,西风1-2级
14,2017-11-15,星期三,7℃,-3℃,优,37,晴,南风1-2级
15,2017-11-16,星期四,7℃,-1℃,良,76,晴,南风1-2级
16,2017-11-17,星期五,6℃,-4℃,良,60,多云~晴,北风5-6级
17,2017-11-18,星期六,5℃,-6℃,优,50,晴,西南风3-4级
18,2017-11-19,星期日,7℃,-5℃,轻度污染,115,多云,西南风1-2级
19,2017-11-20,星期一,9℃,-3℃,轻度污染,135,晴~多云,西北风1-2级
20,2017-11-21,星期二,8℃,-2℃,中度污染,171,多云~晴,西南风3-4级
21,2017-11-22,星期三,7℃,-5℃,优,36,多云~晴,西北风3-4级
22,2017-11-23,星期四,7℃,-4℃,优,30,多云,西风1-2级
23,2017-11-24,星期五,7℃,-5℃,优,37,多云,西南风3-4级
24,2017-11-25,星期六,7℃,-4℃,良,65,阴~多云,南风1-2级
25,2017-11-26,星期日,4℃,-4℃,优,29,晴,东南风1-2级
26,2017-11-27,星期一,7℃,-3℃,良,90,多云,南风1-2级
27,2017-11-28,星期二,7℃,-5℃,良,78,晴~多云,西北风1-2级
28,2017-11-29,星期三,1℃,-6℃,优,32,多云,南风1-2级
29,2017-11-30,星期四,4℃,-5℃,优,43,晴,西南风3-4级
